"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 21, 2015","18.950","19.450","19.750","18.900","349.36K","-0.79%"
"Dec 18, 2015","19.100","19.950","20.000","19.100","1.07M","-4.50%"
"Dec 17, 2015","20.000","19.950","20.550","19.950","538.72K","0.00%"
"Dec 16, 2015","20.000","19.500","20.000","19.450","1.54M","2.83%"
"Dec 15, 2015","19.450","19.250","19.650","19.250","1.10M","1.57%"
"Dec 14, 2015","19.150","19.400","19.400","18.950","622.83K","1.06%"
"Dec 11, 2015","18.950","18.800","19.650","18.500","474.27K","-3.07%"
"Dec 10, 2015","19.550","20.000","20.700","19.550","470.15K","-5.10%"
"Dec 09, 2015","20.600","21.600","22.000","20.450","813.83K","-5.72%"
"Dec 08, 2015","21.850","22.500","22.750","21.850","515.75K","-3.74%"
"Dec 07, 2015","22.700","22.650","23.162","22.500","981.04K","-0.44%"
"Dec 04, 2015","22.800","22.800","23.200","22.750","485.80K","0.44%"
"Dec 03, 2015","22.700","22.000","22.750","22.000","329.21K","1.34%"
"Dec 02, 2015","22.400","22.350","22.650","22.250","433.27K","0.00%"
"Dec 01, 2015","22.400","22.500","22.600","22.100","282.13K","-0.88%"
"Nov 30, 2015","22.600","22.050","22.750","21.800","401.29K","3.91%"
"Nov 27, 2015","21.750","22.000","22.050","21.400","243.24K","-0.68%"
"Nov 26, 2015","21.900","21.900","22.050","21.850","167.81K","-0.45%"
"Nov 25, 2015","22.000","21.200","22.000","21.200","126.64K","3.77%"
"Nov 24, 2015","21.200","21.800","22.100","20.750","302.30K","-2.75%"
"Nov 23, 2015","21.800","21.550","22.000","21.500","134.78K","-0.68%"
"Nov 20, 2015","21.950","21.650","21.950","21.500","84.31K","0.92%"
"Nov 19, 2015","21.750","21.300","22.150","21.250","630.90K","3.08%"
"Nov 18, 2015","21.100","20.550","21.350","20.550","355.51K","2.93%"
"Nov 17, 2015","20.500","20.350","20.750","20.300","370.73K","0.74%"
"Nov 16, 2015","20.350","20.150","21.524","20.150","353.37K","0.00%"
"Nov 13, 2015","20.350","20.750","20.800","20.050","539.72K","-1.45%"
"Nov 12, 2015","20.650","21.000","21.650","20.600","324.36K","-3.50%"
"Nov 11, 2015","21.400","21.000","21.600","21.000","254.69K","-0.93%"
"Nov 10, 2015","21.600","21.600","21.900","21.500","427.36K","-0.69%"
"Nov 09, 2015","21.750","21.150","21.900","21.150","257.15K","1.64%"
"Nov 06, 2015","21.400","21.400","21.650","21.218","314.85K","0.47%"
"Nov 05, 2015","21.300","21.700","21.700","21.300","1.09M","-1.84%"
"Nov 04, 2015","21.700","20.900","22.000","20.900","562.52K","1.88%"
"Nov 03, 2015","21.300","21.050","21.350","20.950","83.71K","1.43%"
"Nov 02, 2015","21.000","20.750","21.350","20.750","1.01M","1.45%"
"Oct 30, 2015","20.700","20.600","21.500","20.300","169.60K","0.49%"
"Oct 29, 2015","20.600","20.600","20.800","20.400","118.36K","-0.48%"
"Oct 28, 2015","20.700","19.700","20.850","19.700","274.26K","0.98%"
"Oct 27, 2015","20.500","21.000","21.000","20.250","453.86K","-2.38%"
"Oct 26, 2015","21.000","20.800","21.287","20.740","771.81K","0.00%"
"Oct 23, 2015","21.000","20.850","21.150","20.600","857.44K","0.96%"
"Oct 22, 2015","20.800","19.850","20.950","19.850","1.53M","4.00%"
"Oct 21, 2015","20.000","20.000","20.150","19.700","666.14K","-0.25%"
"Oct 20, 2015","20.050","19.900","20.050","19.300","107.01K","2.30%"
"Oct 19, 2015","19.600","20.000","20.000","19.400","244.70K","-1.51%"
"Oct 16, 2015","19.900","19.550","20.100","19.550","653.21K","1.53%"
"Oct 15, 2015","19.600","19.450","19.650","19.200","286.59K","1.55%"
"Oct 14, 2015","19.300","18.400","19.400","18.400","729.55K","2.93%"
"Oct 13, 2015","18.750","18.750","18.850","17.950","237.92K","2.74%"
"Oct 12, 2015","18.250","17.800","18.750","17.800","431.07K","0.00%"
"Oct 09, 2015","18.250","17.800","18.650","17.800","719.50K","1.39%"
"Oct 08, 2015","18.000","17.400","18.250","17.250","689.72K","4.05%"
"Oct 07, 2015","17.300","16.400","17.400","16.400","926.52K","4.85%"
"Oct 06, 2015","16.500","16.500","16.750","15.750","574.67K","2.48%"
"Oct 05, 2015","16.100","16.000","16.200","15.250","652.38K","0.63%"
"Oct 02, 2015","16.000","17.200","17.200","15.800","145.93K","-4.76%"
"Oct 01, 2015","16.800","16.850","17.500","16.750","213.18K","-3.45%"
"Sep 30, 2015","17.400","16.900","17.600","16.750","474.88K","3.88%"
"Sep 29, 2015","16.750","16.500","16.900","16.250","285.66K","1.52%"
"Sep 28, 2015","16.500","15.850","16.750","15.850","387.80K","3.13%"
"Sep 25, 2015","16.000","15.300","16.100","14.700","293.35K","4.58%"
"Sep 24, 2015","15.300","15.000","15.300","14.800","116.48K","3.38%"
"Sep 23, 2015","14.800","14.600","14.800","14.600","173.26K","0.34%"
"Sep 22, 2015","14.750","16.000","16.000","14.750","103.11K","-4.84%"
"Sep 21, 2015","15.500","15.900","15.900","15.420","75.69K","0.00%"
"Sep 18, 2015","15.500","15.050","16.000","15.050","873.71K","0.00%"
"Sep 17, 2015","15.500","15.500","15.500","15.250","424.37K","0.00%"
"Sep 16, 2015","15.500","15.500","15.650","15.250","417.17K","2.31%"
